,scores,ds
3973,0,20141106
3974,0,20141107
3975,0,20141110
3976,0,20141111
3977,0,20141112
3978,0,20141113
3979,0,20141114
3980,0,20141117
3981,0,20141118
3982,0,20141119
3983,0,20141120
3984,0,20141121
3985,0,20141124
3986,0,20141125
3987,0,20141126
3988,0,20141128
3989,0,20141201
3990,0,20141202
3991,0,20141203
3992,0,20141204
3993,0,20141205
3994,0,20141208
3995,0,20141209
3996,0,20141210
3997,0,20141211
3998,0,20141212
3999,0,20141215
4000,0,20141216
4001,0,20141217
4002,0,20141218
4003,0,20141219
4004,0,20141222
4005,0,20141223
4006,0,20141224
4007,0,20141226
4008,0,20141229
4009,0,20141230
4010,0,20141231
4011,0,20150102
4012,0,20150105
4013,0,20150106
4014,0,20150107
4015,0,20150108
4016,0,20150109
4017,0,20150112
4018,0,20150113
4019,0,20150114
4020,0,20150115
4021,0,20150116
4022,0,20150120
4023,0,20150121
4024,0,20150122
4025,0,20150123
4026,0,20150126
4027,0,20150127
4028,0,20150128
4029,0,20150129
4030,0,20150130
4031,0,20150202
4032,0,20150203
4033,0,20150204
4034,0,20150205
4035,0,20150206
4036,0,20150209
4037,0,20150210
4038,0,20150211
4039,0,20150212
4040,0,20150213
4041,0,20150217
4042,0,20150218
4043,0,20150219
4044,0,20150220
4045,0,20150223
4046,0,20150224
4047,0,20150225
4048,0,20150226
4049,0,20150227
4050,0,20150302
4051,0,20150303
4052,0,20150304
4053,0,20150305
4054,0,20150306
4055,0,20150309
4056,0,20150310
4057,0,20150311
4058,0,20150312
4059,0,20150313
4060,0,20150316
4061,0,20150317
4062,0,20150318
4063,0,20150319
4064,0,20150320
4065,0,20150323
4066,0,20150324
4067,0,20150325
4068,0,20150326
4069,0,20150327
4070,0,20150330
4071,0,20150331
4072,0,20150401
4073,0,20150402
4074,0,20150406
4075,0,20150407
4076,0,20150408
4077,0,20150409
4078,0,20150410
4079,0,20150413
4080,0,20150414
4081,0,20150415
4082,0,20150416
4083,0,20150417
4084,0,20150420
4085,0,20150421
4086,0,20150422
4087,0,20150423
4088,0,20150424
4089,0,20150427
4090,0,20150428
4091,0,20150429
4092,0,20150430
4093,0,20150501
4094,0,20150504
4095,0,20150505
4096,0,20150506
4097,0,20150507
4098,0,20150508
4099,0,20150511
4100,0,20150512
4101,0,20150513
4102,0,20150514
4103,0,20150515
4104,0,20150518
4105,0,20150519
4106,0,20150520
4107,0,20150521
4108,0,20150522
4109,0,20150526
4110,0,20150527
4111,0,20150528
4112,0,20150529
4113,0,20150601
4114,0,20150602
4115,0,20150603
4116,0,20150604
4117,0,20150605
4118,0,20150608
4119,0,20150609
4120,0,20150610
4121,0,20150611
4122,0,20150612
4123,0,20150615
4124,0,20150616
4125,0,20150617
4126,0,20150618
4127,0,20150619
4128,0,20150622
4129,0,20150623
4130,0,20150624
4131,0,20150625
4132,0,20150626
4133,0,20150629
4134,0,20150630
4135,0,20150701
4136,0,20150702
4137,0,20150706
4138,0,20150707
4139,0,20150708
4140,0,20150709
4141,0,20150710
4142,0,20150713
4143,0,20150714
4144,0,20150715
4145,0,20150716
4146,0,20150717
4147,0,20150720
4148,0,20150721
4149,0,20150722
4150,0,20150723
4151,0,20150724
4152,0,20150727
4153,0,20150728
4154,0,20150729
4155,0,20150730
4156,0,20150731
4157,0,20150803
4158,0,20150804
4159,0,20150805
4160,0,20150806
4161,0,20150807
4162,0,20150810
4163,0,20150811
4164,0,20150812
4165,0,20150813
4166,0,20150814
4167,0,20150817
4168,0,20150818
4169,0,20150819
4170,0,20150820
4171,0,20150821
4172,0,20150824
4173,0,20150825
4174,0,20150826
4175,0,20150827
4176,0,20150828
4177,0,20150831
4178,0,20150901
4179,0,20150902
4180,0,20150903
4181,0,20150904
4182,0,20150908
4183,0,20150909
4184,0,20150910
4185,0,20150911
4186,0,20150914
4187,0,20150915
4188,0,20150916
4189,0,20150917
4190,0,20150918
4191,0,20150921
4192,0,20150922
4193,0,20150923
4194,0,20150924
4195,0,20150925
4196,0,20150928
4197,0,20150929
4198,0,20150930
4199,0,20151001
4200,0,20151002
4201,0,20151005
4202,0,20151006
4203,0,20151007
4204,0,20151008
4205,0,20151009
4206,0,20151012
4207,0,20151013
4208,0,20151014
4209,0,20151015
4210,0,20151016
4211,0,20151019
4212,0,20151020
4213,0,20151021
4214,0,20151022
4215,0,20151023
4216,0,20151026
4217,0,20151027
4218,0,20151028
4219,0,20151029
4220,0,20151030
4221,0,20151102
4222,0,20151103
4223,0,20151104
4224,0,20151105
4225,0,20151106
4226,0,20151109
4227,0,20151110
4228,0,20151111
4229,0,20151112
4230,0,20151113
4231,0,20151116
4232,0,20151117
4233,0,20151118
4234,0,20151119
4235,0,20151120
4236,0,20151123
4237,0,20151124
4238,0,20151125
4239,0,20151127
4240,0,20151130
4241,0,20151201
4242,0,20151202
4243,0,20151203
4244,0,20151204
